participant,profession,age,leading_hand,sex,languages,education
6b849800-12d0-49f3-828a-3f9f948ccb5c,водитель,38,правая,мужчина,Русский,средняя школа
a10e4b1c-4410-4f0a-9a19-21eb422b97bc,Программист,56,правая,женщина,Русский,специалитет
eb257cb2-cffc-478f-a848-1c144660596f,мама,32,правая,женщина,русский,средняя школа
b982fdba-cdfc-4a28-a7b0-a4888417bddf,нет,26,правая,женщина,русский язык,средняя школа
b63c828f-dbf4-4096-9c2d-d4d7c83c6e78,Студент,20,правая,женщина,Русский,школа
bb724859-1bef-43b2-bcf5-810697f7e8ff,социолог,23,левая,женщина,русский,бакалавриат
bbd319d5-f1e9-4994-b5bd-5b83d0fae92c,социолог,23,левая,женщина,русский,бакалавриат
76e59634-6736-4f59-bc95-b7740c3e6a1e,инженер,55,правая,мужчина,Русский,специалитет
f82bc8ca-8aa7-41a8-b181-75e98e3606c5,психолг,25,правая,женщина,русский,специалитет
212005b4-3fda-4b49-a95c-02168f8d88cc,Инженер-технолог,31,правая,мужчина,Русский,специалитет
008b7b88-2b3a-4321-9dc7-09ae43dcdf22,строитель,32,левая,мужчина,русский,средняя школа
610f0abf-4505-443d-bcb4-d2168231acf4,юрист,43,переученный левша,женщина,русский,специалитет
060cf64b-aa1d-42e1-bc57-d3b4f27da537,биолог,38,правая,мужчина,русский,аспирантура
1a82cd2d-bed9-42ef-abaa-353b552e900d,Юрист,34,правая,женщина,Русский,специалитет
8aaacc4f-2f84-45f6-bd3a-a176da54d712,нет специальности,29,правая,мужчина,русский,средняя школа
8b5b46d4-2b9b-4e4f-9a70-c310599ba695,специалист по связям с общественностью,27,правая,женщина,русский,специалитет
b01ab47e-aefe-4f80-82b1-2fe759a8dff8,юрист,34,правая,женщина,русский,аспирантура
d313c6cc-b982-4832-8b1e-367bcac9b7b2,Бухгалтер,21,правая,женщина,Русский,бакалавриат
edf271d2-c122-454b-bea8-2814108591fb,Техник по компьютерным сетям,20,правая,мужчина,русский,школа
6b02052a-0dac-4d22-9590-c05125c20fce,Русская,24,правая,женщина,Русский,бакалавриат
4d2a7c00-a3f8-43c7-ae27-3d86697826b8,полиграфист,49,правая,женщина,русский,средняя школа
98d20b90-6724-4a0b-9591-7f649956e828,инженер,38,правая,мужчина,русский,магистратура
09ac92d5-b8cd-464f-9cc9-64c067d31e4a,русская,45,правая,женщина,"русский,украинский",специалитет
208e93fb-067d-4196-91a9-f32dcc886d86,экономист,40,правая,женщина,русский,специалитет
4219d7e0-dd80-4ca3-9a78-80e0fb26139d,биолог,38,правая,мужчина,русский,аспирантура
ae27768c-c0dd-4d12-a749-6ba7ebaaccce,юрист,29,правая,женщина,русский,специалитет
2dc29831-e999-403b-8748-11287351096a,экономист,34,правая,женщина,русский,специалитет
85b48a5f-91d3-46fd-a7e9-00fe82f61e96,токарь,27,правая,мужчина,русский,средняя школа
a5e8a057-d89d-4ff3-aec2-9b3f26777247,Психиатр,30,правая,женщина,Русский,докторантура
80e4f5fe-72ae-4b02-806d-de75f912126c,Журналист,18,правая,мужчина,Русский,средняя школа
1c21e9a2-3ae1-46ef-b728-d9883dc0035c,Экономист,37,правая,женщина,"Русский , Украинский",бакалавриат
ba766a1a-3137-4a01-90d9-54fbd3b6b2d4,Юрист,34,правая,женщина,Русский,специалитет
4c680015-02dd-4491-afb4-bd4355838d14,украинка,29,правая,женщина,русский,средняя школа
9060b788-e894-4f2b-b047-b66c6128e5ca,Воспитатель,20,правая,женщина,Русский,средняя школа
be5340c5-9ca5-4f70-803c-039cbc8d56a1,педагог,23,правая,женщина,"русский, украинский",магистратура
2116d365-cc55-4da6-b820-932b0afcf79b,ветеринарный врач,28,правая,женщина,русский,магистратура
cee9c43d-991d-46c6-966f-4e15601ce2ba,инженер средств связи,55,правая,мужчина,русский,специалитет
839cd24e-eb30-488b-8dc3-c2b8d7eb7624,Инженер-программист,26,правая,мужчина,Русский,бакалавриат
1a5041d4-86ec-4b5c-a45a-33afc08409c0,техник-механик,56,правая,женщина,русский,бакалавриат
5db74bbf-7e8d-43c6-8a88-d93d56edc404,менеджер,29,правая,женщина,русский,специалитет
dca0860f-ddde-4214-b318-7d6349876e30,инженер-строитель,55,левая,женщина,русский,магистратура
7a4f41bd-9c2c-42f4-a6ce-c39b4201df83,специалист по связям с общественностью,34,правая,женщина,русский,специалитет
18c4b70c-1398-4d0c-9b5c-2d796e14f39a,Экономист,21,правая,женщина,Русский,специалитет
427baee5-23f1-4dde-bd66-7248e3f01fa6,ИТ,58,правая,женщина,русский,специалитет
8fdab2a3-a812-4ba3-80bb-4eaf91ffbe1e,специалист социальной работы в сфере здравоохранения,29,правая,женщина,русский,бакалавриат
36d41740-bbae-4005-948d-f82deea97d4c,Специалист по работе с абонентами,27,правая,женщина,Русский,специалитет
3975db1f-6954-46c2-8ac7-fc48c247d0a2,Экономист,22,правая,женщина,Русский,бакалавриат
3ba45962-22fb-4e55-b00b-4083d5e4d05a,it-шник,47,правая,мужчина,русский,специалитет
3e9fe4cf-7351-44a1-b7d4-7696c7e64916,Специалист,34,правая,мужчина,Русский,бакалавриат
5a5bf134-0c6a-4391-ba1e-f24aad9a9a47,инженер,53,правая,мужчина,русский,магистратура
ba5710de-bb5e-40ba-983c-f90b64882fe0,программист,40,правая,мужчина,русский,бакалавриат
45dcc20d-2016-4b0a-af0b-fd5ea99c8c70,журналист,29,правая,женщина,русский,магистратура
d740a441-8581-4257-9f02-b42b58593863,сурдопедагог,54,правая,женщина,русский,специалитет
4b718896-3879-4c3f-b403-ce71ad15e0b4,юрист,27,правая,женщина,русский немецкий,специалитет
730b54cf-39fc-438c-924a-e871bd93d108,студент,18,правая,мужчина,русский,школа
893be72c-4191-4562-9c24-6f0af67001da,Филолог,19,левая,женщина,Русский,школа
8dcad1bd-09f8-4ba3-a319-3545d69302cf,Инженер,24,правая,женщина,Русский,специалитет
9aeec13d-a0be-4241-872c-0bb226107e23,домохазяйка,26,правая,женщина,русский украинский,средняя школа
f2612c7d-c5c4-4bd6-9c03-5870c6a0c364,инженер,28,правая,женщина,"украинский,русский",специалитет
6b139c79-369b-4cd7-8a20-982f6653edf3,бармен,26,правая,мужчина,Русский,средняя школа
8caf0991-36d8-44c2-8d9e-c1034fabcc79,инженер,34,правая,мужчина,русский,бакалавриат
ec525b24-8409-4c7c-be8d-f7a8769662f3,преподаватель,36,правая,женщина,русский,специалитет
ac227018-53c2-49bb-8a23-efc798ffb4fa,экономист,41,левая,женщина,русский,специалитет
587b440c-9b0d-4f7f-989e-cef37aa28027,Инженер,21,переученный левша,мужчина,"Русский, английский, беларуский",средняя школа
a666694d-0553-4c45-bcb8-c6664aa3338a,домохозяйка,22,правая,женщина,русский,школа
c69d83fc-f7ff-48ad-b29c-ff6751567c8c,энергетик,32,правая,мужчина,руский,бакалавриат
